kw,kw2,kw3,n
host-symbiont interactions,eraction,s,323
host-symbiont specificity,ecificit,,27
host-vector interaction,teractio,,133
host-virus models,us model,s,4
host-virus system dynamics, dynamic,s,330
host&#8211,ost&#821,,1
hosts,host,s,1
hostxenvironment interactions,eraction,s,323
hot and cold spots,old spot,s,1
hot drought,t drough,,2
hot moment,ot momen,,1
hotspot,hotspo,,1
"hot springs mountains, nevada, usa","vada, us",,1
hotshot,hotsho,,1
hotspot use,tspot us,,1
hotter is better,is bette,,1
hotter-colder,er-colde,,1
hounds-tongue,ds-tongu,,1
hourglass model,ass mode,,3
house finch,use finc,,1
house finch haemorhous mexicanus,mexicanu,s,9
house finches,e finche,s,2
house mice,ouse mic,,2
house mouse,use mous,,1
house of cards, of card,s,1
house sparrow,e sparro,,4
house wren,ouse wre,,1
house-of-cards model,rds mode,,4
housing avoidance,avoidanc,,34
hovenia dulcis,ia dulci,s,1
hoverflies,overflie,s,1
hoverfly,hoverfl,,1
hovering,hoverin,,1
howardula,howardul,,1
howler monkeys,r monkey,s,3
howlers,howler,s,1
hox genes,hox gene,s,1
hoxa13,hoxa1,,1
hpaec-pad,hpaec-pa,,1
hplc,hpl,,1
hrrp,hrr,,1
hsi,hs,,2
hsp,hs,,2
hsp70,hsp7,,1
huai kha khaeng wildlife sanctuary,sanctuar,,3
huancabamba-amotape biogeographic zone,phic zon,,2
hubbard brood experimental forest,al fores,,41
hubbard brook,ard broo,,1
"hubbard brook experimental forest, new hampshire",hampshir,,3
"hubbard brook experimental forest, new hampshire, usa","hire, us",,3
huber value,ber valu,,1
hucho perryi,ho perry,,1
huckleberry,ckleberr,,1
hudson bay,udson ba,,1
hudson bay coast,bay coas,,1
hudson bay lowland,y lowlan,,1
"hudson bay, ontario",", ontari",,2
hudson river,son rive,,1
hudson river estuary (usa),ary (usa,,1
"hudson river, usa","iver, us",,3
hudsonian godwit,an godwi,,1
hudsons bay company,y compan,,1
hue,hu,,1
hueston woods,ton wood,s,1
"hueston woods (ohio, usa)","hio, usa",,1
huisman-olff-fresco models,co model,s,1
hull edge,hull edg,,1
human,huma,,1
human accessibility,ssibilit,,3
human activities,ctivitie,s,8
human activity, activit,,57
human association,sociatio,,34
human behavior, behavio,,157
human conflict, conflic,,44
human culture,n cultur,,2
human death,man deat,,1
human density,n densit,,17
human density gradient, gradien,,111
human dimensions,imension,s,6
human diseases, disease,s,9
human disturbance,sturbanc,,66
human encephalization,alizatio,,101
human evolution,evolutio,,298
human fetuses,n fetuse,s,1
human footprint,footprin,,2
human genetics, genetic,s,39
human genome diversity,diversit,,255
human genome program,e progra,,2
human health,an healt,,2
human immunodeficiency virus,ncy viru,s,2
human impact,an impac,,2
human influence,influenc,,9
human influence index,nce inde,,8
human intensification,ificatio,,174
human intervention gradient, gradien,,111
human killing,n killin,,1
human mobility, mobilit,,6
human population density,n densit,,17
human population growth,on growt,,15
human pressure, pressur,,21
human primates, primate,s,5
human settlement,ettlemen,,12
human stressors,stressor,s,11
human uses,uman use,s,1
human wildlife conflict, conflic,,44
human-altered habitat,d habita,,9
human-altered landscape,landscap,,42
human-animal conflict, conflic,,44
human-chimp split,imp spli,,1
human-dense areas,nse area,s,1
human-dominated countryside,untrysid,,2
human-dominated ecosystems,cosystem,s,59
human-dominated land cover,and cove,,4
human-dominated landscapes,andscape,s,29
human-elephant coexistence,existenc,,40
human-elephant conflict, conflic,,44
human-elephant relationship,ationshi,,86
human-environment interactions,eraction,s,323
human-induced evolution,evolutio,,298
human-induced rapid environmental change,al chang,,27
human-induced rapid environmental change (hirec),e (hirec,,1
human-induced recent environmental changes,l change,s,10
human-lion conflict, conflic,,44
human-mediated dispersal,dispersa,,174
human-modified forest,ed fores,,28
human-modified habitat,d habita,,9
human-modified habitat matrixes, matrixe,s,1
human-modified landscapes,andscape,s,29
human-nature relations,relation,s,36
human-predator conflict, conflic,,44
human-use landscape,landscap,,42
human-vectored dispersal,dispersa,,174
human-wildlife interactions,eraction,s,323
human&#8208,man&#820,,1
human&#8211,man&#821,,1
humans,human,s,1
humble bee,umble be,,1
humboldt,humbold,,1
humboldt current system,nt syste,,4
humboldtia,umboldti,,2
humboldtia brunonis, brunoni,s,1
humeral diaphysis,diaphysi,s,1
humerus,humeru,s,1
humic,humi,,1
humic substances,ubstance,s,3
humid environments,ironment,s,22
humid montane forest,ne fores,,20
humid savanna,d savann,,6
humid tropical ecosystem,ecosyste,,67
humid tropical forest,al fores,,41
humid tropical steeplands,teepland,s,1
humidity,humidit,,1
humidity fluctuations,ctuation,s,22
humidity preference,referenc,,57
humification,ificatio,,174
hummingbird abundance,abundanc,,78
hummingbird behaviour,behaviou,,43
hummingbird conservation,servatio,,81
hummingbird energy budgets,y budget,s,3
hummingbird feeders,d feeder,s,2
hummingbird flower mites,wer mite,s,2
hummingbird learning, learnin,,25
hummingbird pollination,llinatio,,55
hummingbird time budgets,e budget,s,1
hummingbird visitation,isitatio,,8
hummingbird-hawkmoth,-hawkmot,,1
hummingbird-plant interaction,teractio,,133
hummingbird-pollinator behavior, behavio,,157
hummingbirds,mingbird,s,5
hummingbirds traits,ds trait,s,1
hummock-hollow,ck-hollo,,1
hummock-hollow pattern,w patter,,1
hummocks,hummock,s,1
humoral immunity, immunit,,23
humoral response, respons,,110
hump-back productivity-diversity relationship,ationshi,,86
hump-backed model,ked mode,,1
hump-shaped,mp-shape,,1
hump-shaped curve,ped curv,,1
hump-shaped pattern,d patter,,5
hump-shaped relationship,ationshi,,86
humpback whale,ack whal,,1
humpty dumpty effect,ty effec,,12
humus,humu,s,1
humus and soil chemistry,chemistr,,57
humus podzol,us podzo,,1
hunger,hunge,,1
hunger level,ger leve,,1
hunter-gatherer,-gathere,,1
hunting,huntin,,1
hunting behavior, behavio,,157
hunting dogs,ting dog,s,1
hunting effect,ng effec,,19
hunting effort,ng effor,,11
hunting group size,roup siz,,7
hunting immortality,mortalit,,122
hunting management,anagemen,,79
hunting modalities,odalitie,s,1
hunting mode,ting mod,,2
hunting mortality,mortalit,,122
hunting offtake,g offtak,,1
hunting pack dynamics, dynamic,s,330
hunting pressure, pressur,,21
hunting spider predators,predator,s,32
hunting spiders,g spider,s,5
hunting strategies,trategie,s,83
hunting strategy, strateg,,107
hunting success,g succes,s,19
hunting susceptibility,ptibilit,,14
huperzia,huperzi,,1
hura crepitans,crepitan,s,1
hurdle model,dle mode,,1
hurricane,hurrican,,2
hurricane andrew,ne andre,,1
hurricane damage,ne damag,,1
hurricane dean,cane dea,,1
hurricane disturbance,sturbanc,,66
hurricane effects,e effect,s,64
hurricane exposure model,ure mode,,8
hurricane georges,e george,s,1
hurricane gilbert,e gilber,,1
hurricane hugo,cane hug,,1
hurricane opal,cane opa,,1
hurwitz criteria, criteri,,10
hustons dynamic equilibrium model,ium mode,,5
hutan hujan tropika,n tropik,,1
hutchinson,utchinso,,1
hutchinson niche,son nich,,1
hutchinsonian niche,ian nich,,3
hvc,hv,,1
hwange national park,onal par,,79
"hwange national park, zimbabwe", zimbabw,,1
hyacinthoides non-scripta,n-script,,1
hyaenidae,hyaenida,,1
hyalella,hyalell,,1
hyalella azteca,la aztec,,1
hyalinobatrachium colymbiphyllum,biphyllu,,1
hyaloperonospora parasitica,arasitic,,3
hyalopterus,alopteru,s,1
hyalopterus pruni,rus prun,,1
hybanthus,hybanthu,s,1
hybathus prunifolius,unifoliu,s,1
hybrid,hybri,,1
hybrid breakdown,breakdow,,11
hybrid bridge hypothesis,ypothesi,s,335
hybrid costs,rid cost,s,1
hybrid crosses,d crosse,s,1
hybrid dataset approach, approac,,32
hybrid fitness,d fitnes,s,8
hybrid incompatibility,atibilit,,42
hybrid index,rid inde,,1
hybrid inferiority,feriorit,,1
hybrid inviability,viabilit,,21
hybrid lethality,lethalit,,3
hybrid load,brid loa,,1
hybrid male sterility,sterilit,,15
hybrid misregulation,egulatio,,60
hybrid models,id model,s,1
hybrid multidimensional scaling,l scalin,,12
hybrid necrosis, necrosi,s,1
hybrid novelty,d novelt,,1
hybrid seed lethality,lethalit,,3
hybrid sink,brid sin,,1
hybrid speciation,peciatio,,53
hybrid species,d specie,s,34
hybrid sterility,sterilit,,15
hybrid striped bass,iped bas,s,2
hybrid superiority,periorit,,4
hybrid swarm,rid swar,,1
hybrid swarm theory,rm theor,,1
hybrid unfitness,unfitnes,s,1
hybrid viability,viabilit,,21
hybrid vigor,rid vigo,,1
hybrid zone,brid zon,,8
hybrid zone dynamics, dynamic,s,330
hybrid zone movement, movemen,,46
hybridity,hybridit,,2
hybridization,idizatio,,26
hybridization variation,variatio,,240
"hybridization, mitochondrial inheritance",heritanc,,28
hybridization/introgression,ogressio,,20
hybridogenesis,dogenesi,s,6
hybridogenetic,dogeneti,,1
hydra effect,ra effec,,1
hydracarina,dracarin,,1
hydrachnidia,rachnidi,,1
hydractinia,dractini,,1
hydractinia symbiolongicarpus,ngicarpu,s,2
hydractiniidae,ctiniida,,1
hydrastis canadensis,anadensi,s,23
hydration,hydratio,,4
hydraulic architecture,hitectur,,32
hydraulic capacitance,pacitanc,,4
hydraulic characteristics,teristic,s,30
hydraulic conductance,nductanc,,8
hydraulic conductivity,ductivit,,69
hydraulic force,lic forc,,1
hydraulic lift,ulic lif,,1
hydraulic lift/redistribution,tributio,,232
hydraulic limitations,mitation,s,2
hydraulic safety,ic safet,,1
hydraulic safety margins,y margin,s,2
hydraulic strategies,trategie,s,83
hydraulic sufficiency,fficienc,,85
hydraulic traits,ic trait,s,14
hydraulics,ydraulic,s,3
hydric,hydri,,1
hydrilla verticillata,ticillat,,1
hydro-acoustic,-acousti,,1
hydro&#8208,dro&#820,,1
hydroacoustics,acoustic,s,5
hydrobates pelagicus,pelagicu,s,1
hydrobiosidae,obiosida,,1
hydrocarbon,drocarbo,,1
hydrochaeris,rochaeri,s,1
hydrochemistry,chemistr,,57
hydrochory,ydrochor,,1
hydroclimatic variability,riabilit,,81
hydrocotyle bonariensis,nariensi,s,5
hydrodynamic conditions,ondition,s,33
hydrodynamic drag,amic dra,,1
hydrodynamic model,mic mode,,9
hydrodynamic refuge,ic refug,,1
hydrodynamic transport,transpor,,29
hydrodynamics,odynamic,s,5
hydroelectric dams,tric dam,s,1
hydroelectric power,ric powe,,1
hydroelectric power plant,wer plan,,1
hydrogen,hydroge,,1
hydrogen (h),rogen (h,,1
hydrogen isotopes, isotope,s,20
hydrogen peroxide, peroxid,,1
hydrogen stable isotopes, isotope,s,20
hydrogen sulfide,n sulfid,,1
hydrograph,ydrograp,,1
hydrographic great basin,eat basi,,2
hydroid,hydroi,,1
hydroides dianthus, dianthu,s,1
hydrologic alteration,lteratio,,4
hydrologic controls, control,s,5
hydrologic cycle,gic cycl,,1
hydrologic distance, distanc,,62
hydrologic disturbance,sturbanc,,66
hydrologic disturbance and net primary production,roductio,,212
hydrologic disturbance in floodplain forests,n forest,s,16
hydrologic flow paths,low path,s,1
hydrologic losses,ic losse,s,1
hydrologic model,gic mode,,1
hydrologic niche segregation,gregatio,,54
hydrological balance,l balanc,,2
hydrological change,al chang,,27
hydrological characteristics,teristic,s,30
hydrological disturbance,sturbanc,,66
hydrological equilibrium,uilibriu,,30
hydrological gradients,gradient,s,36
hydrological niche,cal nich,,4
hydrological niche segregation,gregatio,,54
hydrological regime,al regim,,5
hydrological regulation,egulatio,,60
hydrological transport,transpor,,29
hydrological variability,riabilit,,81
hydrology,hydrolog,,11
hydrolysable tannin,le tanni,,1
hydrolysis,ydrolysi,s,1
hydrolzable tannins,e tannin,s,1
hydromantes,dromante,s,1
hydromedion sparsutum,sparsutu,,1
hydroperiod,droperio,,2
hydroperiodicity,riodicit,,8
hydrophilidae,ophilida,,6
hydrophilus larvae,us larva,,2
hydrophily,ydrophil,,1
hydrophyllum-appendiculatum,diculatu,,2
hydropower,ydropowe,,1
hydropower projects, project,s,2
hydropsychid caddisflies,ddisflie,s,3
hydropsychidae,psychida,,1
hydropsychids,opsychid,s,1
hydroseral succession,uccessio,,54
hydrosere,hydroser,,1
hydrothermal fluids,al fluid,s,1
hydrothermal time model,ime mode,,4
hydrothermal vent,rmal ven,,1
hydrozoa,hydrozo,,1
hydrurga leptonyx, leptony,,1
hydrus,hydru,s,1
hyena,hyen,,1
hyeronima,hyeronim,,1
hyeronima alchorneoides,orneoide,s,2
hygiene,hygien,,1
hygrolycosa rubrofasciata,ofasciat,,1
hygroscopic awn,copic aw,,1
hyla,hyl,,1
hyla andersonii,ndersoni,,2
hyla arborea,a arbore,,6
hyla chrysoscelis,ysosceli,s,1
hyla cinerea,a cinere,,5
hyla ebraccata,ebraccat,,1
hyla femoralis,femorali,s,1
hyla gratiosa, gratios,,1
hyla labialis, labiali,s,1
hyla leucopygia,eucopygi,,1
hyla meridionalis,idionali,s,3
hyla regilla,a regill,,1
hyla versicolor,ersicolo,,4
hyla versicolor complex,r comple,,3
hyla-crucifer,-crucife,,1
hylaeus,hylaeu,s,1
hylaeus spp.,aeus spp,,1
hylarana erythraea,erythrae,,1
hylemya sp.,lemya sp,,1
hyles fineata,s fineat,,1
hyles gallii,es galli,,1
hylidae,hylida,,1
hylobates,hylobate,s,1
hylobates lar,bates la,,1
hylobates mulleri x agilis, x agili,s,1
hylobates-hoolock,s-hooloc,,1
hylobatidae,lobatida,,2
hylobius,hylobiu,s,1
hylobius abietis,s abieti,s,2
hylocichla mustelina,mustelin,,1
hylocomiastrum umbratum, umbratu,,1
hylocomium splendens,splenden,s,5
hylophylax n. naevioides,aevioide,s,2
hylophylax naevioides,aevioide,s,2
hymenaea,hymenae,,1
hymenaea courbaril,courbari,,1
hymenocarpos circinnatus,rcinnatu,s,1
hymenolepis diminuta, diminut,,1
hymenolobium mesoamericanum,mericanu,,16
hymenoptera,menopter,,4
hymenopterans,nopteran,s,2
hymenopus coronatus,coronatu,s,2
hymenorus,hymenoru,s,1
hymenoscyphus fraxineus,fraxineu,s,1
hymenoxys,hymenoxy,s,1
hynobius retardatus,etardatu,s,1
hynobius retardatus (dunn),us (dunn,,1
hyoid skeleton, skeleto,,5
hyoscyamine,oscyamin,,1
hyparrhenia diplandra,diplandr,,1
hyper-aggression,ggressio,,9
hyper-dominance,dominanc,,33
hyper-fragmented landscapes,andscape,s,29
hypera brunneipennis,neipenni,s,1
hyperbolic competition model,ion mode,,86
hyperbolic function fit,ction fi,,1
hyperbolic model,lic mode,,3
hypercarnivory,carnivor,,7
hyperdinamism,rdinamis,,1
hyperdispersed,disperse,,11
hyperdiverse,erdivers,,1
hyperdominant species,t specie,s,44
hyperdominant tree,nant tre,,2
hypereutrophic,eutrophi,,1
hypergeometric phenotypic model,pic mode,,2
hypericum cumulicola,umulicol,,1
hypericum irazuense,irazuens,,1
hypericum perforatum,erforatu,,1
hypericum perforatum (st,ratum (s,,1
hypermutability,utabilit,,1
hyperolius,yperoliu,s,1
hyperolius chlorosteus,lorosteu,s,1
hyperolius spinigularis,nigulari,s,1
hyperolius sylvaticus,ylvaticu,s,6
hyperparasite,rparasit,,1
hyperparasitism,arasitis,,49
hyperparasitism enemy-free space,ree spac,,4
hyperparasitoid,arasitoi,,17
hyperphagia,perphagi,,1
hyperplasticity,lasticit,,75
hyperpredation,predatio,,109
hypersalinity,rsalinit,,1
hyperseasonal savanna,l savann,,5
hypersensitive response, respons,,110
hypersensitivity,nsitivit,,36
hyperspectral imaging,l imagin,,2
hyperspectral remote sensing,e sensin,,9
hyperthelia dissoluta,dissolut,,1
hyperthermia,erthermi,,1
hypertrophic lips,phic lip,s,1
hypervolume,pervolum,,3
hyphae,hypha,,1
hyphal ingrowth bags,owth bag,s,1
hyphal links,hal link,s,1
hyphal mesh barriers, barrier,s,18
hyphal production,roductio,,212
hyphal turnover, turnove,,45
hypnales,hypnale,s,1
hypnotic state assay,ate assa,,1
hypochaeris radicata, radicat,,1
hypocnemis,ypocnemi,s,1
hypocotyl,hypocoty,,1
hypocrea,hypocre,,1
hypocrisy,hypocris,,1
hypoderma tarandi,a tarand,,1
hypodermis,ypodermi,s,1
hypogaeic,hypogaei,,1
hypogeous fungi,ous fung,,5
hypogeous sporocarps,porocarp,s,2
hypogymnia physodes, physode,s,1
hypolimnas bolina,as bolin,,1
hypolithic,ypolithi,,1
hypolithic autotrophs,utotroph,s,4
hypomesus transpacificus,pacificu,s,3
hypoplectrus,oplectru,s,1
hypoplectrus puella,us puell,,1
hypoponera,ypoponer,,1
hypopus induction,inductio,,15
hyporheic,hyporhei,,1
hyporheic ground-water interface,interfac,,9
hyporheic zone,heic zon,,1
hyporheos,hyporheo,s,1
hyposalinity,osalinit,,1
